Plant Code,State,County,Generator ID,Technology,Prime Mover,Nameplate Capacity (MW),Status,Operating Year,Planned Retirement Year,Energy Source,Fuel Category
56041.0,CA,Los Angeles,M1,Natural Gas Fired Combined Cycle,CT,40.0,OP,2005.0, ,NG,Gas
56041.0,CA,Los Angeles,M2,Natural Gas Fired Combined Cycle,CT,40.0,OP,2005.0, ,NG,Gas
56041.0,CA,Los Angeles,M3,Natural Gas Fired Combined Cycle,CA,50.0,OP,2005.0, ,NG,Gas
56046.0,CA,Los Angeles,1,Natural Gas Fired Combined Cycle,CT,198.9,OP,2005.0, ,NG,Gas
56046.0,CA,Los Angeles,2,Natural Gas Fired Combined Cycle,CA,188.7,OP,2005.0, ,NG,Gas
56047.0,CT,New Haven,CTG1,Natural Gas Fired Combined Cycle,CT,280.5,OP,2018.0, ,NG,Gas
56047.0,CT,New Haven,CTG2,Natural Gas Fired Combined Cycle,CT,280.5,OP,2018.0, ,NG,Gas
56047.0,CT,New Haven,STG,Natural Gas Fired Combined Cycle,CA,280.5,OP,2018.0, ,NG,Gas
56068.0,WI,Milwaukee,1,Conventional Steam Coal,ST,701.3,OP,2010.0, ,SUB,Coal
56068.0,WI,Milwaukee,2,Conventional Steam Coal,ST,701.3,OP,2011.0, ,SUB,Coal
56078.0,CA,Stanislaus,1,Natural Gas Fired Combined Cycle,CT,94.9,OP,2006.0, ,NG,Gas
56078.0,CA,Stanislaus,2,Natural Gas Fired Combined Cycle,CT,94.9,OP,2006.0, ,NG,Gas
56078.0,CA,Stanislaus,3,Natural Gas Fired Combined Cycle,CA,110.8,OP,2006.0, ,NG,Gas
56102.0,UT,Juab,CT1A,Natural Gas Fired Combined Cycle,CT,146.2,OP,2005.0, ,NG,Gas
56102.0,UT,Juab,CT1B,Natural Gas Fired Combined Cycle,CT,146.2,OP,2005.0, ,NG,Gas
56102.0,UT,Juab,ST1,Natural Gas Fired Combined Cycle,CA,274.5,OP,2006.0, ,NG,Gas
56104.0,MN,Blue Earth,CTG1,Natural Gas Fired Combined Cycle,CT,188.7,OP,2019.0, ,NG,Gas
56104.0,MN,Blue Earth,CTG2,Natural Gas Fired Combined Cycle,CT,192.1,OP,2006.0, ,NG,Gas
56104.0,MN,Blue Earth,STG1,Natural Gas Fired Combined Cycle,CA,360.0,OP,2006.0, ,NG,Gas
56108.0,LA,Lafayette,U-1,Natural Gas Fired Combustion Turbine,GT,50.4,OP,2005.0, ,NG,Gas
56108.0,LA,Lafayette,U-2,Natural Gas Fired Combustion Turbine,GT,50.4,OP,2005.0, ,NG,Gas
56135.0,CA,San Joaquin,1,Natural Gas Fired Combustion Turbine,GT,60.5,OP,2006.0, ,NG,Gas
