facility_id,site_name,state,latitude,longitude,annual_generation_mwh,original_fuel,new_technology,abatement_cost,NOx,SOx,PM2_5,VOC,NH3,CO2,transition,height,diam,temp,velocity
8007,Plant 8007,NY,40.817037,-73.066265,25171.0,Oil,NGCC,96.75346824528668,2.76881,0.25171000000000004,0.25171000000000004,0.5034200000000001,0.25171000000000004,9313.27,Oil to NGCC,50.0,5.0,400.0,20.0
8012,Plant 8012,PA,40.08,-74.8917,659.91,Oil,NGCC,52.242839425021664,0.0725901,0.0065991,0.0065991,0.0131982,0.0065991,244.1667,Oil to NGCC,50.0,5.0,400.0,20.0
8031,Plant 8031,IA,43.094,-93.292222,2968155.02,Gas,NGCC,-428.0687863385047,326.49705220000004,29.681550200000004,29.681550200000004,59.36310040000001,29.681550200000004,1098217.3574,Gas to NGCC,50.0,5.0,400.0,20.0
8053,Plant 8053,NY,40.6182,-74.06849,46281.09,Gas,NGCC,-113.6584675822238,5.090919899999999,0.4628109,0.4628109,0.9256218,0.4628109,17124.0033,Gas to NGCC,50.0,5.0,400.0,20.0
8069,Plant 8069,UT,39.3792,-111.0781,3830775.89,Coal,NGCC,69.83936212158018,421.38534790000006,38.3077589,38.3077589,76.6155178,38.3077589,1417387.0793,Coal to NGCC,50.0,5.0,400.0,20.0
8102,Plant 8102,OH,38.9347,-82.1158,14678632.01,Coal,NGCC,76.24886613012725,1614.6495211000001,146.7863201,146.7863201,293.5726402,146.7863201,5431093.8437,Coal to NGCC,50.0,5.0,400.0,20.0
8223,Plant 8223,AZ,34.3186,-109.1639,7708510.81,Coal,NGCC,-599.3505189501863,847.9361891,77.0851081,77.0851081,154.1702162,77.0851081,2852148.9997,Coal to NGCC,50.0,5.0,400.0,20.0
8224,Plant 8224,NV,40.881317,-117.151605,1207285.13,Coal,NGCC,64.34033530622972,132.8013643,12.0728513,12.0728513,24.1457026,12.0728513,446695.49809999997,Coal to NGCC,50.0,5.0,400.0,20.0
10649,Plant 10649,CA,35.419181,-118.926643,48863.68,Gas,NGCC,-120.25581731675517,5.3750048,0.48863680000000004,0.48863680000000004,0.9772736000000001,0.48863680000000004,18079.5616,Gas to NGCC,50.0,5.0,400.0,20.0
10678,Plant 10678,MD,39.595171,-78.745333,658186.54,Coal,NGCC,-34.15007483701505,72.40051940000001,6.581865400000001,6.581865400000001,13.163730800000002,6.581865400000001,243529.0198,Coal to NGCC,50.0,5.0,400.0,20.0
50458,Plant 50458,NY,43.25,-73.8125,523187.5,Gas,NGCC,24.80004834046564,57.550625000000004,5.2318750000000005,5.2318750000000005,10.463750000000001,5.2318750000000005,193579.375,Gas to NGCC,50.0,5.0,400.0,20.0
50555,Plant 50555,NC,36.4517,-77.6594,5041.22,Oil,NGCC,57.70492295292895,0.5545342000000001,0.050412200000000004,0.050412200000000004,0.10082440000000001,0.050412200000000004,1865.2514,Oil to NGCC,50.0,5.0,400.0,20.0
54365,Plant 54365,FL,27.87082,-81.825061,430076.54,Gas,NGCC,-491.2587680655956,47.3084194,4.3007654,4.3007654,8.6015308,4.3007654,159128.3198,Gas to NGCC,50.0,5.0,400.0,20.0
54761,Plant 54761,OR,45.8042,-119.37,3031264.24,Gas,NGCC,-346.24589088056086,333.43906640000006,30.312642400000005,30.312642400000005,60.62528480000001,30.312642400000005,1121567.7688,Gas to NGCC,50.0,5.0,400.0,20.0
54785,Plant 54785,PA,39.942219,-75.188069,895049.45,Gas,NGCC,-16.121151131229926,98.4554395,8.9504945,8.9504945,17.900989,8.9504945,331168.2965,Gas to NGCC,50.0,5.0,400.0,20.0
54832,Plant 54832,MD,38.6681,-76.8678,662763.65,Gas,NGCC,-513.0639241950214,72.9040015,6.6276365,6.6276365,13.255273,6.6276365,245222.5505,Gas to NGCC,50.0,5.0,400.0,20.0
54914,Plant 54914,NY,40.699357,-73.976392,1679381.57,Gas,NGCC,-69.26380444917307,184.7319727,16.793815700000003,16.793815700000003,33.58763140000001,16.793815700000003,621371.1809,Gas to NGCC,50.0,5.0,400.0,20.0
55011,Plant 55011,WI,42.855463,-88.72992,669281.87,Gas,NGCC,-246.30506478924886,73.6210057,6.6928187,6.6928187,13.3856374,6.6928187,247634.29189999998,Gas to NGCC,50.0,5.0,400.0,20.0
55015,Plant 55015,TX,29.0728,-95.745,3324179.91,Gas,NGCC,3.1567411997744266,365.6597901,33.2417991,33.2417991,66.4835982,33.2417991,1229946.5667,Gas to NGCC,50.0,5.0,400.0,20.0
55026,Plant 55026,MA,41.8312,-71.1239,355696.13,Gas,NGCC,-46.049717758008896,39.1265743,3.5569613,3.5569613,7.1139226,3.5569613,131607.5681,Gas to NGCC,50.0,5.0,400.0,20.0
55029,Plant 55029,WI,44.44861,-88.07204,148107.72,Gas,NGCC,-146.31497970273148,16.2918492,1.4810772,1.4810772,2.9621544,1.4810772,54799.8564,Gas to NGCC,50.0,5.0,400.0,20.0
55031,Plant 55031,ME,44.506315,-70.242312,83586.33,Gas,NGCC,-950.4954804710188,9.1944963,0.8358633000000001,0.8358633000000001,1.6717266000000002,0.8358633000000001,30926.9421,Gas to NGCC,50.0,5.0,400.0,20.0
55042,Plant 55042,CT,41.1692,-73.1844,2684791.22,Gas,NGCC,-151.9298896156272,295.3270342,26.847912200000003,26.847912200000003,53.69582440000001,26.847912200000003,993372.7514000001,Gas to NGCC,50.0,5.0,400.0,20.0
55043,Plant 55043,SC,35.0727,-81.613,79838.63,Gas,NGCC,-539.6705611906906,8.7822493,0.7983863000000001,0.7983863000000001,1.5967726000000002,0.7983863000000001,29540.293100000003,Gas to NGCC,50.0,5.0,400.0,20.0
55062,Plant 55062,TX,30.5924,-95.9178,4269599.22,Gas,NGCC,-673.682465832135,469.6559142,42.6959922,42.6959922,85.3919844,42.6959922,1579751.7114,Gas to NGCC,50.0,5.0,400.0,20.0
55063,Plant 55063,MS,34.3356,-89.9275,4650829.66,Gas,NGCC,-667.4869128093384,511.59126260000005,46.50829660000001,46.50829660000001,93.01659320000002,46.50829660000001,1720806.9742,Gas to NGCC,50.0,5.0,400.0,20.0
55065,Plant 55065,TX,32.9728,-102.7417,2135785.83,Gas,NGCC,-229.7246659679475,234.9364413,21.357858300000004,21.357858300000004,42.71571660000001,21.357858300000004,790240.7571,Gas to NGCC,50.0,5.0,400.0,20.0
55068,Plant 55068,ME,44.8242,-68.7094,593806.99,Gas,NGCC,-688.4486284693071,65.3187689,5.9380699,5.9380699,11.8761398,5.9380699,219708.5863,Gas to NGCC,50.0,5.0,400.0,20.0
55077,Plant 55077,NV,35.788889,-114.994167,1688385.07,Gas,NGCC,-641.0377350586537,185.7223577,16.883850700000004,16.883850700000004,33.76770140000001,16.883850700000004,624702.4759,Gas to NGCC,50.0,5.0,400.0,20.0
55079,Plant 55079,MA,42.112291,-72.015113,418656.19,Gas,NGCC,-553.3532447871444,46.0521809,4.1865619,4.1865619,8.3731238,4.1865619,154902.7903,Gas to NGCC,50.0,5.0,400.0,20.0
55086,Plant 55086,TX,27.88929,-97.258417,372717.37,Gas,NGCC,-827.7008808715233,40.9989107,3.7271737000000003,3.7271737000000003,7.4543474000000005,3.7271737000000003,137905.4269,Gas to NGCC,50.0,5.0,400.0,20.0
55087,Plant 55087,MI,42.8206,-85.9975,4785052.96,Gas,NGCC,-338.81358323171906,526.3558256,47.8505296,47.8505296,95.7010592,47.8505296,1770469.5951999999,Gas to NGCC,50.0,5.0,400.0,20.0
55088,Plant 55088,MI,42.3026,-83.154,3627979.0,Gas,NGCC,22.627967492558643,399.07769,36.279790000000006,36.279790000000006,72.55958000000001,36.279790000000006,1342352.23,Gas to NGCC,50.0,5.0,400.0,20.0
