,eis facility id,site name,state,site latitude,site longitude,primary naics code,primary naics description,NH3,NOx,Other,PM2_5,SOx,VOC,geometry
33957,9857511,CITY-COUNTY CAPITOL IMPROVEMENT,CA,37.640898,-121.000357,221118,Other Electric Power Generation,0.0,0.007366340088800001,0.0023259495440739767,0.001363736235038157,9.408213357897202e-06,0.00068673884818,POINT (-121.000357 37.640898)
33973,9860311,SUISUN - SOLANO WATER AUTHORITY SPORTS COMPLEX,CA,38.243263,-121.969598,221112,Fossil Fuel Electric Power Generation,0.0,0.032249283526075,0.007681020085924552,0.002242694650322403,2.9159484876414203e-05,0.00364995982543808,POINT (-121.969598 38.243263)
33996,9862911,IVANHOE PUBLIC UTILITY DISTRICT,CA,36.387301,-119.219197,221118,Other Electric Power Generation,0.0,0.00122288502952,0.00040125298064714595,8.767983004633223e-05,2.5254787575984124e-06,6.2051436216e-05,POINT (-119.219197 36.387301)
34062,9872511,CREED ENERGY CENTER LLC,CA,38.24245,-121.85656,221112,Fossil Fuel Electric Power Generation,0.320260571130269,1.3085247113997367,1.0654839821102946,0.9367206943908675,0.08292982134814592,0.028200055004363705,POINT (-121.85656 38.24245)
34136,9883211,CITY OF SANTA ROSA UTILITIES DEPT,CA,38.442255,-122.748268,221112,Fossil Fuel Electric Power Generation,0.0,0.015072605021232222,0.003561087608044113,0.0005841822861184187,1.3140226909087355e-05,0.0009275745888360352,POINT (-122.748268 38.442255)
34142,9884511,PACIFIC GAS & ELECTRIC,CA,38.249506,-122.066228,221112,Fossil Fuel Electric Power Generation,0.0,0.2264031290677002,0.05062356334580909,0.00956139024933126,0.000279608579668418,0.01142846569308598,POINT (-122.066228 38.249506)
34309,9906811,PACIFIC GAS & ELECTRIC COMPANY,CA,37.758735,-120.85323,221118,Other Electric Power Generation,0.0,0.0,0.00037153040331999997,0.0,0.0,0.0034037571444800003,POINT (-120.85323 37.758735)
34310,9907011,PACIFIC GAS & ELECTRIC COMPANY,CA,37.657372,-121.03093,221122,Electric Power Distribution,0.0,0.0018869442592,0.0150042282469336,0.000183517666919664,1.85205574846908e-05,0.00011884120094000001,POINT (-121.03093 37.657372)
34339,9910411,SOUTHERN CALIFORNIA EDISON,CA,36.303901,-119.242989,221122,Electric Power Distribution,0.0,0.002812272694,0.0047226658682831294,0.00021676734406328725,6.03104398377712e-06,0.0253648853304,POINT (-119.242989 36.303901)
34516,9942111,ORINDA EQUITY PARTNERS,CA,37.425627,-121.894315,221112,Fossil Fuel Electric Power Generation,0.0,0.0095034314682076,0.012152424108937455,0.0005580366516280756,1.047058202670634e-05,0.00124450505624368,POINT (-121.894315 37.425627)
34532,9945211,CITY OF GILROY WATER DEPT PUMP STATION #6,CA,36.983512,-121.584886,221112,Fossil Fuel Electric Power Generation,0.0,0.0104741826429394,0.0014300937398553223,0.0006684868591088472,1.068794349041034e-05,0.0018930323759901403,POINT (-121.584886 36.983512)
34547,9948111,EASTRIDGE MALL - SAN JOSE,CA,37.32375,-121.81511,221112,Fossil Fuel Electric Power Generation,0.0,0.0032117905032028205,0.0004726744126666854,0.00014238145371871792,4.29947234781218e-06,0.000565676314685636,POINT (-121.81511 37.32375)
34556,9950211,XILINX INC,CA,37.253694,-121.934439,221122,Electric Power Distribution,0.0,0.11048782389601572,0.0503600632469679,0.00563450833575456,0.00010530912170596664,0.007020698348373248,POINT (-121.934439 37.253694)
34561,9951611,CITY OF GILROY,CA,37.001218,-121.602839,221112,Fossil Fuel Electric Power Generation,0.0,0.0204968685126282,0.009717913655911207,0.0009185640090646358,1.72928825197436e-05,0.00292459395821362,POINT (-121.602839 37.001218)
34562,9951711,CITY OF GILROY,CA,37.029689,-121.612428,221112,Fossil Fuel Electric Power Generation,0.0,0.00864812136601028,0.011058706828564949,0.0005078130728156856,9.5285740932767e-06,0.00113250039950432,POINT (-121.612428 37.029689)
34563,9951811,CITY OF GILROY,CA,37.021879,-121.61791,221112,Fossil Fuel Electric Power Generation,0.0,0.030380981913282,0.007066206041079212,0.0006679176369718869,1.257064847532032e-05,0.00212656622205412,POINT (-121.61791 37.021879)
34564,9951911,CITY OF GILROY,CA,37.020601,-121.569073,221112,Fossil Fuel Electric Power Generation,0.0,0.0110731150801348,0.007018253809235737,0.0009386096783606082,1.4334280927181601e-05,0.000511985765188898,POINT (-121.569073 37.020601)
34565,9952011,CITY OF GILROY,CA,37.014949,-121.562205,221112,Fossil Fuel Electric Power Generation,0.0,0.0065573653543829205,0.008385169323824633,0.00038504323759870585,7.22508053856512e-06,0.000858708779107256,POINT (-121.562205 37.014949)
34570,9953911,FOOTHILL/DEANZA COMMUNITY COLLEGE DISTRICT,CA,37.322854,-122.0496,221112,Fossil Fuel Electric Power Generation,0.0,0.981908946477502,0.28826086888322966,0.07051757023822464,0.006483692317378612,0.030288945209136303,POINT (-122.0496 37.322854)
34578,9957011,PACIFIC GAS & ELECTRIC CO - LOMA PRIETA,CA,37.110943,-121.845796,221112,Fossil Fuel Electric Power Generation,0.0,4.1004750248e-06,0.00020087882416294003,0.00019130439641698002,6.54338926627848e-05,2.8721096922656605e-06,POINT (-121.845796 37.110943)
