State,Facility ID,Gross Load (MWh),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu)
WY,6101,2041923.98,1802.985,2441975.826,2672.879,23283557.773
CO,6112,4142437.23,9.238,1829997.743,331.709,30793120.263
IN,6113,8930746.66,4513.634,9041528.531,3571.198,88124178.088
GA,6124,30253.0,0.991,20877.3,41.633,340582.1
IN,6137,2033134.76,2718.306,2167645.051,1116.968,21300273.375
AR,6138,2276365.06,642.987,2491950.095,2574.732,23759994.669
TX,6139,3856800.23,9495.673,4372159.174,4016.782,41687240.157
TX,6146,13025624.01,13302.532,13996318.363,9144.892,133450757.839
MO,6155,891035.75,2049.046,861520.39,367.296,8214337.932
CT,6156,34926.01,28.697,30415.273,19.766,422099.715
UT,6165,4690299.76,1940.223,4915858.398,4654.43,47912926.504
IN,6166,2990043.37,2008.286,3388565.661,1149.434,32521323.882
AZ,6177,3517072.15,125.751,4005256.629,2821.443,38229136.41
TX,6178,2851065.68,9577.27,3013749.179,2121.567,28735198.007
TX,6179,8269206.89,578.36,9248091.887,5364.089,88177903.52
TX,6180,13011882.33,8195.533,13433250.18,4373.262,123441913.275
TX,6183,1573373.95,4615.175,1972164.289,1426.175,18114837.765
LA,6190,4535779.65,3166.109,4380531.858,3784.608,48048689.686
TX,6193,3543159.96,10531.864,3800605.635,2317.19,36363702.198
TX,6194,2915585.15,8429.888,3102777.842,2173.343,29695841.691
MO,6195,2159559.12,2509.313,2099178.371,966.292,20722566.507
WY,6204,10239246.69,6630.402,12007969.291,6897.227,114492570.054
IN,6213,4618988.53,2838.252,5075282.144,1368.422,49466690.645
MO,6223,240949.08,1.086,191049.508,179.388,3175149.426
TX,6243,212478.56,0.561,111048.713,46.486,1868598.016
CO,6248,3008781.52,1518.024,3398439.339,782.381,32408952.602
SC,6249,3064772.25,1672.099,3176781.85,1512.359,30962806.313
WI,6253,14421.52,1.359,15021.339,33.681,234003.012
IA,6254,3433325.23,1015.917,3756421.45,1003.454,35825535.131
GA,6257,7368872.0,685.331,8325583.984,5692.214,79382038.653
WV,6264,5459659.98,2805.317,5301427.96,2640.776,51715848.211
MN,6358,25383.27,0.089,16653.913,13.926,280249.154
NE,6373,84619.18,0.667,35629.847,133.207,1145399.757
IA,6463,2060.13,0.59,1894.6,1.905,23377.2
ND,6469,5273647.98,11120.242,5895711.85,3619.127,54153703.775
UT,6481,4916969.0,848.084,4825362.925,5219.576,47030878.475
FL,6584,718.8,0.003,564.333,0.603,6957.433
CT,6635,4068.93,0.016,3144.841,1.007,52394.176
KY,6639,196410.12,0.596,117995.361,79.473,1985536.534
AR,6641,5050175.82,12847.925,6086794.294,4752.82,58051032.773
IA,6664,3904539.56,6002.281,4029216.466,3399.991,38417375.655
IN,6705,4625423.76,660.229,5054764.645,6852.121,49266798.376
CO,6761,1629501.39,501.51,1587576.019,824.016,16155491.19
MO,6768,1473723.54,4086.193,1603928.256,840.97,15293001.583
OK,6772,708184.23,2654.847,834514.041,737.882,8145013.831
KY,6823,3150842.05,3108.553,3523880.676,2328.918,34345825.504
KS,7013,3981.0,0.013,2869.6,6.822,48756.3
TX,7030,2635678.05,2126.076,2930291.278,1902.965,26915580.805
VA,7032,88285.69,4.369,70338.1,106.565,1177420.4
AL,7063,758280.61,2.523,498577.354,209.161,8388754.848
NV,7082,2126919.85,4.819,954695.52,86.627,16064676.431
TX,7097,5409990.16,618.058,6144360.981,2416.734,59886584.091
NJ,7138,4013.8,0.069,3180.5,7.12,53148.2
IA,7145,16585.63,0.375,7344.244,26.216,237018.994
NY,7146,15548.27,0.099,16886.894,29.428,208136.551
DE,7153,1813345.07,3.469,1006360.152,359.146,16931656.519
IA,7155,437.21,0.015,548.602,0.787,6738.368
OH,7158,203524.66,1.048,200793.481,210.408,3376075.891
WI,7159,124637.56,0.493,97615.557,64.491,1641842.473
WI,7203,24238.41,0.116,22891.143,12.988,384723.113
SC,7210,1476651.41,272.108,1063872.108,689.34,15502013.383
VA,7212,118791.01,6.407,93930.0,164.248,1570093.5
VA,7213,278237.11,83.379,306980.278,352.471,2992010.338
SD,7237,238599.05,0.893,177101.003,70.459,2979526.358
FL,7238,4307255.73,9.041,1788258.236,166.231,30090568.81
FL,7242,5910986.89,29.437,2366266.243,245.828,39807294.8
FL,7254,0.0,0.0,7080.045,5.737,119258.328
MI,7258,63946.17,0.218,43124.784,18.203,725613.758
CA,7266,272204.1,0.698,138337.496,7.471,2327753.663
WI,7270,163683.32,0.649,128705.871,86.445,2164984.719
NC,7277,31038.68,0.154,21500.671,17.669,348125.205
NJ,7288,32994.82,0.131,26476.203,16.146,438479.366
MO,7296,2385458.76,5.091,978149.395,112.581,16453341.167
FL,7302,7062107.65,23.585,4670973.127,603.735,78598357.534
CA,7307,371345.84,0.931,184418.958,3.536,3103168.836
NY,7314,270792.31,1.064,207504.694,67.492,3474834.834
CA,7315,200177.41,0.59,116798.645,10.569,1965398.72
DE,7318,657.43,0.004,623.821,0.673,10483.854
